continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
South America,Ecuador,973006,-78.183406,-1.831239,1902,1962,0,0,60,2020-04-01 16:45:03
Europe,Norway,962004,8.468946,60.472024,4577,4615,0,0,38,2020-04-01 16:45:03
South America,Chile,973004,-71.542969,-35.675147,2570,2738,0,156,12,2020-04-01 16:45:03
Europe,Ukraine,964007,31.16558,48.379433,642,669,0,10,17,2020-04-01 16:45:03
Asia,Lebanon,955012,35.862285,33.854721,416,463,0,35,12,2020-04-01 16:45:03
Africa,Cameroon,983001,12.354722,7.369722,224,233,0,3,6,2020-04-01 16:45:03
South America,Peru,973008,-75.015152,-9.189967,641,1065,0,394,30,2020-04-01 16:45:03
Asia,Oman,955013,55.923255,21.512583,175,210,0,34,1,2020-04-01 16:45:03
Europe,Bosnia and Herzegovina,965003,17.679076,43.915886,380,409,0,17,12,2020-04-01 16:45:03
Asia,Vietnam,952011,108.277199,14.058324,154,212,0,58,0,2020-04-01 16:45:03
Europe,Finland,962002,25.748151,61.92411,1357,1384,0,10,17,2020-04-01 16:45:03
Oceania,Australia,990001,133.775136,-25.274398,4721,4860,0,119,20,2020-04-01 16:45:03
Asia,Israel,955009,34.851612,31.046051,5344,5591,0,226,21,2020-04-01 16:45:03
Asia,Cyprus,955005,33.429859,35.126413,255,262,0,0,7,2020-04-01 16:45:03
North America,Mexico,971003,-102.552784,23.634501,1185,1215,0,1,29,2020-04-01 16:22:49
Asia,Bangladesh,953001,90.356331,23.684994,23,54,0,25,6,2020-04-01 16:22:49
North America,Panama,972007,-80.782127,8.537981,961,989,0,4,24,2020-04-01 16:22:49
Asia,United Arab Emirates,955019,53.847818,23.424076,597,664,0,61,6,2020-04-01 16:22:49
North America,Cuba,974004,-77.781167,21.521757,166,170,0,0,4,2020-04-01 16:22:49
South America,Argentina,973001,-63.616672,-38.416097,787,1054,0,240,27,2020-04-01 16:22:49
Oceania,New Zealand,990007,174.885971,-40.900557,596,647,4,50,1,2020-04-01 16:22:49
Europe,Czech Republic,963002,15.472962,49.817492,3181,3257,0,45,31,2020-04-01 15:56:32
Europe,Portugal,965010,-8.224454,39.399872,7261,7443,0,22,160,2020-04-01 14:41:40
Asia,Uzbekistan,954005,64.585262,41.377491,163,172,0,7,2,2020-04-01 13:36:53
North America,Canada,971001,-106.346771,56.130366,6898,8591,0,1592,101,2020-04-01 13:36:53
Europe,Malta,965019,14.375416,35.937496,169,169,0,0,0,2020-04-01 13:36:53
Asia,China,951001,104.195397,35.86166,2895,82631,0,76415,3321,2020-04-01 13:30:49
Europe,Belarus,964001,27.953389,53.709807,104,152,0,47,1,2020-04-01 13:11:39
Asia,Thailand,952010,100.992541,15.870032,1632,1771,0,127,12,2020-04-01 13:11:39
Africa,Tunisia,981006,9.537499,33.886917,384,394,0,0,10,2020-04-01 13:11:39
Africa,Botswana,984002,24.684866,-22.328474,3,4,0,0,1,2020-04-01 12:36:17
North America,Bahamas,974002,-77.39628,25.03428,14,14,0,0,0,2020-04-01 12:36:17
Europe,Greece,965007,21.824312,39.074208,1246,1314,0,19,49,2020-04-01 12:36:17
Europe,Andorra,965002,1.601554,42.546245,354,376,0,10,12,2020-04-01 12:36:17
South America,Bolivia,973002,-63.588653,-16.290154,92,97,0,0,5,2020-04-01 12:36:17
North America,Barbados,974003,-59.543198,13.193887,33,33,0,0,0,2020-04-01 12:36:17
Europe,Slovenia,965014,14.995463,46.151241,787,802,0,0,15,2020-04-01 12:36:17
Europe,Bulgaria,965004,25.48583,42.733883,388,399,0,3,8,2020-04-01 12:36:17
South America,Colombia,973005,-74.297333,4.570868,859,906,0,31,16,2020-04-01 12:36:17
Europe,Iceland,962003,-19.020835,64.963051,935,1135,0,198,2,2020-04-01 12:36:17
Africa,Gabon,983004,11.609444,-0.803689,17,18,0,0,1,2020-04-01 12:36:17
South America,Paraguay,973009,-58.443832,-23.442503,61,65,0,1,3,2020-04-01 12:36:17
Africa,Libya,981003,17.228331,26.3351,8,8,0,0,0,2020-04-01 12:36:17
Africa,Mali,982010,-3.996166,17.570692,26,28,0,0,2,2020-04-01 12:36:17
Africa,Mauritius,984014,57.552152,-20.348404,138,143,0,0,5,2020-04-01 12:36:17
Europe,Italy,965008,12.56738,41.87194,77635,105792,0,15729,12428,2020-04-01 12:36:17
Africa,Togo,982016,0.824782,8.619543,23,34,0,10,1,2020-04-01 12:36:17
Europe,United Kingdom,961007,-3.435973,55.378051,23226,25150,0,135,1789,2020-04-01 12:36:17
North America,Guatemala,972004,-90.230759,15.783471,35,36,0,0,1,2020-04-01 12:36:17
North America,Costa Rica,972002,-83.753428,9.748917,345,347,0,0,2,2020-04-01 12:36:17
North America,Trinidad and Tobago,974013,-61.222503,10.691803,79,82,0,0,3,2020-04-01 12:36:17
Asia,Laos,952006,102.495496,19.85627,8,8,0,0,0,2020-04-01 12:36:17
Europe,Hungary,963004,19.503304,47.162494,439,492,0,37,16,2020-04-01 12:36:17
South America,Suriname,973010,-56.027783,3.919305,9,9,0,0,0,2020-04-01 12:36:17
Europe,France,961002,2.213749,46.227638,39161,52128,0,9444,3523,2020-04-01 12:36:17
Asia,Pakistan,953006,69.345116,30.375321,1856,1940,0,58,26,2020-04-01 12:36:17
Asia,Iraq,955008,43.679291,33.223191,474,694,0,170,50,2020-04-01 12:36:17
Africa,Tanzania,985009,34.888822,-6.369028,17,19,0,1,1,2020-04-01 12:36:17
North America,Jamaica,974009,-77.297508,18.109581,35,36,0,0,1,2020-04-01 12:36:17
Europe,Ireland,961003,-8.24389,53.41291,3164,3235,0,0,71,2020-04-01 12:36:17
Asia,Kuwait,955011,47.481766,29.31166,216,289,0,73,0,2020-04-01 12:36:17
Africa,South Africa,984011,22.937506,-30.559482,1347,1353,0,1,5,2020-04-01 12:36:17
Europe,Croatia,965005,15.2,45.1,794,867,0,67,6,2020-04-01 12:36:17
Europe,Guernsey,0,-2.585278,49.465691,45,45,0,0,0,2020-04-01 12:36:17
Oceania,French Polynesia,0,-149.406843,-17.679742,36,36,0,0,0,2020-04-01 12:36:17
Europe,Austria,963001,14.550072,47.516231,8748,9971,0,1095,128,2020-04-01 12:36:17
Europe,Gibraltar,0,-5.345374,36.137741,69,69,0,0,0,2020-04-01 12:36:17
Europe,San Marino,965012,12.457777,43.94236,215,242,0,2,25,2020-04-01 12:36:17
South America,Venezuela,0,-66.58973,6.42375,132,135,0,0,3,2020-04-01 12:36:17
Asia,Iran,955007,53.688046,32.427908,27052,44606,0,14656,2898,2020-04-01 12:36:17
South America,French Guiana,0,-53.125782,3.933889,43,43,0,0,0,2020-04-01 12:36:17
South America,Guyana,973007,-58.93018,4.860416,7,8,0,0,1,2020-04-01 12:36:17
Asia,Jordan,955010,36.238414,30.585164,239,274,0,30,5,2020-04-01 12:36:17
Africa,Seychelles,985007,55.491977,-4.679574,10,10,0,0,0,2020-04-01 12:36:17
Asia,Syria,955017,38.996815,34.802075,8,10,0,0,2,2020-04-01 12:36:17
Africa,Uganda,985010,32.290275,1.373333,44,44,0,0,0,2020-04-01 12:36:17
Europe,Netherlands,961006,5.291266,52.132633,8602,12595,0,2954,1039,2020-04-01 12:36:17
Africa,Djibouti,985002,42.590275,11.825138,30,30,0,0,0,2020-04-01 12:36:17
Africa,Nigeria,982013,8.675277,9.081999,128,139,0,9,2,2020-04-01 12:36:17
Europe,Moldova,964005,28.369885,47.411631,327,353,0,22,4,2020-04-01 12:36:17
Africa,Kenya,985005,37.906193,-0.023559,57,59,0,1,1,2020-04-01 12:36:17
Oceania,Guam,0,144.793731,13.444304,57,58,0,0,1,2020-04-01 12:36:17
North America,El Salvador,972003,-88.89653,13.794185,30,30,0,0,0,2020-04-01 12:36:17
Africa,Sierra Leone,982015,-11.779889,8.460555,1,1,0,0,0,2020-04-01 12:36:17
Europe,Latvia,964003,24.603189,56.879635,398,398,0,0,0,2020-04-01 12:36:17
Europe,Spain,965015,-3.74922,40.463667,71519,94417,0,14709,8189,2020-04-01 12:36:17
Africa,Sudan,981005,30.217636,12.862807,5,7,0,0,2,2020-04-01 12:36:17
North America,Honduras,972005,-86.241905,15.199999,136,139,0,0,3,2020-04-01 12:36:17
North America,Dominican Republic,974006,-70.162651,18.735693,859,901,0,0,42,2020-04-01 12:36:17
Europe,Poland,963006,19.145136,51.919438,2265,2311,0,13,33,2020-04-01 12:36:17
South America,Uruguay,973011,-55.765835,-32.522779,296,338,0,41,1,2020-04-01 12:36:17
Asia,Azerbaijan,955003,47.576927,40.143105,267,298,0,26,5,2020-04-01 12:36:17
Europe,Albania,965001,20.168331,41.153332,218,243,0,10,15,2020-04-01 12:36:17
Asia,Qatar,955015,51.183884,25.354826,717,781,0,62,2,2020-04-01 12:36:17
Africa,Guinea,0,-9.696645,9.945587,21,22,0,1,0,2020-04-01 12:36:17
Europe,Slovakia,963007,19.699024,48.669026,359,363,0,3,1,2020-04-01 12:36:17
South America,Brazil,973003,-51.92528,-14.235004,5516,5717,0,0,201,2020-04-01 12:36:17
Europe,Switzerland,963008,8.227512,46.818188,13980,16176,0,1823,373,2020-04-01 12:36:17
Africa,Gambia,982005,-15.310139,13.443182,3,4,0,0,1,2020-04-01 12:36:17
Africa,Madagascar,984005,46.869107,-18.766947,57,57,0,0,0,2020-04-01 12:36:17
Europe,Liechtenstein,963005,9.555373,47.166,64,64,0,0,0,2020-04-01 12:36:17
Europe,Monaco,961005,7.412841,43.750298,50,52,0,1,1,2020-04-01 12:36:17
Africa,Ghana,982006,-1.023194,7.946527,153,161,0,3,5,2020-04-01 12:36:17
Africa,Egypt,981002,30.802498,26.820553,514,710,0,150,46,2020-04-01 12:36:17
North America,Puerto Rico,0,-66.590149,18.220833,168,174,0,0,6,2020-04-01 12:36:17
North America,Nicaragua,972006,-85.207229,12.865416,3,4,0,0,1,2020-04-01 12:36:17
Africa,Senegal,982014,-14.452362,14.497401,135,175,0,40,0,2020-04-01 12:36:17
North America,Belize,972001,-88.49765,17.189877,3,3,0,0,0,2020-04-01 12:36:17
Africa,Burkina Faso,982002,-1.561593,12.238333,215,261,0,32,14,2020-04-01 12:36:17
Asia,Singapore,952009,103.819836,1.352083,740,926,0,183,3,2020-04-01 12:36:17
Asia,Maldives,953004,73.22068,3.202778,5,18,0,13,0,2020-04-01 12:36:17
Africa,Zimbabwe,984013,29.154857,-19.015438,7,8,0,0,1,2020-04-01 12:36:17
